GEOID_tract,total_comp_cost,nonmotorist_comp_cost,GEOID_county,tract_name,pct_nonmotorist_cost,is_baltimore_city
24510200500,46679041.08,26251968.96,24510,Census Tract 2005,56.239306448066394,True
24031701701,4584717.9,2558766.42,24031,Census Tract 7017.01,55.81077125814,False
24510130700,36657348.839999996,20307043.259999998,24510,Census Tract 1307,55.39692286159339,True
24031700902,17472256.2,9678858.839999998,24031,Census Tract 7009.02,55.39558674740586,False
24005451803,8260858.619999999,4559340.239999999,24005,Census Tract 4518.03,55.19208655818879,False
24510270502,42028023.24,23169923.279999997,24510,Census Tract 2705.02,55.1297003613249,True
24031703702,73166195.34,40129024.32,24031,Census Tract 7037.02,54.846400217371205,False
24510150300,35999442.36,19740656.88,24510,Census Tract 1503,54.83600740975478,True
24031703301,26583073.02,14191737.84,24031,Census Tract 7033.01,53.38637045206446,False
24027602304,19576762.38,10406009.88,24027,Census Tract 6023.04,53.15490722118067,False
24033805601,67815014.39999999,35826580.44,24033,Census Tract 8056.01,52.82986482710237,False
24510130100,13447542.780000001,7098165.899999999,24510,Census Tract 1301,52.784110942237135,True
24033802406,11369216.879999999,5972755.319999999,24033,Census Tract 8024.06,52.534447913531224,False
24510250101,12136336.38,6367321.799999999,24510,Census Tract 2501.01,52.464941648230734,True
24005421000,5831056.98,3043473.3000000003,24005,Census Tract 4210,52.19419584543315,False
24031700730,21362245.38,11032806.959999999,24031,Census Tract 7007.30,51.64628887902045,False
24005451500,52555614.3,26974654.56,24005,Census Tract 4515,51.32592382237648,False
24031700314,8928116.82,4565374.38,24031,Census Tract 7003.14,51.13479664348746,False
24031703202,45214047.9,23095787.4,24031,Census Tract 7032.02,51.08099909807014,False
24510080301,33255676.439999998,16823443.14,24510,Census Tract 803.01,50.588185058730986,True
24033802700,43650765.9,21928397.400000002,24033,Census Tract 8027,50.23599689003395,False
24031702101,57189643.559999995,28654538.22,24031,Census Tract 7021.01,50.10441827625198,False
24031700901,79392368.16,39682646.64,24031,Census Tract 7009.01,49.98294868850276,False
24510150100,39349914.66,19640302.919999998,24510,Census Tract 1501,49.91193269337575,True
24027602900,28464021.18,14191737.84,24027,Census Tract 6029,49.85851349060864,False
24510271801,31329562.32,15584015.159999998,24510,Census Tract 2718.01,49.74220514421791,True
